"Service Request Description","Department","Block/Address","Street","Ward","Method Received","Created Date"
"Street Sweeping Request","Environmental Services"," ","WALKER RD & GRAND MARAIS RD E","WARD 4","Phone","SEP 19, 2025 11:27:47 AM"
"Street Sweeping Request","Environmental Services"," ","HURON CHURCH RD & COLLEGE AVE","WARD 2","Phone","AUG 11, 2025 10:37:24 AM"
"Street Sweeping Request","Environmental Services","9##","DROUILLARD","WARD 5","Phone","AUG 11, 2025 09:24:50 AM"
"Street Sweeping Request","Environmental Services"," ","BRADBURY CRT & LAKE TRAIL DR","WARD 1","E-Mail","AUG 18, 2025 09:36:47 AM"
"Street Sweeping Request","Environmental Services","15##","PARENT","WARD 4","Phone","AUG 26, 2025 02:29:46 PM"
"Street Sweeping Request","Environmental Services","8##","LYNN","WARD 9","Phone","SEP 03, 2025 02:42:21 PM"
"Street Sweeping Request","Environmental Services","8##","LYNN","WARD 9","Phone","SEP 03, 2025 02:43:36 PM"
"Street Sweeping Request","Environmental Services"," ","YPRES AVE & WALKER RD","WARD 4","Phone","JUL 11, 2025 11:32:26 AM"
"Street Sweeping Request","Environmental Services"," ","WEST GRAND BLVD & DOUGALL AVE","WARD 1","Phone","JUL 28, 2025 09:58:29 AM"
"Street Sweeping Request","Environmental Services","33##","PINEVIEW","WARD 7","Phone","JUL 21, 2025 01:51:00 PM"
"Street Sweeping Request","Environmental Services","28##","JEFFERSON","WARD 8","Phone","JUL 21, 2025 03:26:03 PM"
"Street Sweeping Request","Environmental Services","34##","WALKER","WARD 9","Phone","SEP 16, 2025 12:01:26 PM"
"Street Sweeping Request","Environmental Services","8##","FORD","WARD 6","Phone","JUN 24, 2025 02:56:31 PM"
"Street Sweeping Request","Environmental Services","14##","ROONEY","WARD 2","Phone","JUN 25, 2025 11:12:01 AM"
"Street Sweeping Request","Environmental Services","9##","MOY","WARD 4","Phone","JUN 30, 2025 10:22:17 AM"
"Street Sweeping Request","Environmental Services","103##","MENARD","WARD 7","Phone","AUG 28, 2025 10:16:38 AM"
"Street Sweeping Request","Environmental Services"," ","HANSEN CRES & SEYMOUR BLVD","WARD 9","E-Mail","JUL 23, 2025 12:32:47 PM"
"Street Sweeping Request","Environmental Services","6##","GRAND MARAIS","WARD 10","Phone","JUL 28, 2025 09:12:41 AM"
"Street Sweeping Request","Environmental Services"," ","BRUCE AVE & WEST GRAND BLVD","WARD 1","Phone","AUG 06, 2025 08:34:21 AM"
"Street Sweeping Request","Environmental Services","10##","LANGLOIS","WARD 4","Phone","AUG 12, 2025 08:51:05 AM"
"Street Sweeping Request","Environmental Services","2##","MARENTETTE","WARD 4","Phone","OCT 20, 2025 02:42:27 PM"
"Street Sweeping Request","Environmental Services","99##","KENWOOD","WARD 7","Phone","OCT 22, 2025 11:03:33 AM"
"Street Sweeping Request","Environmental Services","34##","DEERBROOK","WARD 7","Phone","OCT 27, 2025 03:41:24 PM"
"Street Sweeping Request","Environmental Services","14##","PARTINGTON","WARD 10","Phone","SEP 22, 2025 10:10:19 AM"
"Street Sweeping Request","Environmental Services","29##","JENNIFER","WARD 10","Phone","SEP 22, 2025 10:58:44 AM"
"Street Sweeping Request","Environmental Services","41##","ROSELAND","WARD 1","Phone","OCT 14, 2025 03:16:56 PM"
"Street Sweeping Request","Environmental Services","23##","FRASER","WARD 4","Phone","OCT 15, 2025 09:07:38 AM"
"Street Sweeping Request","Environmental Services","9##","LINCOLN","WARD 4","Phone","OCT 15, 2025 02:29:19 PM"
"Street Sweeping Request","Environmental Services","17##","CALDERWOOD","WARD 9","Phone","OCT 16, 2025 01:59:07 PM"
"Street Sweeping Request","Environmental Services","15##","PELISSIER","WARD 3","Phone","OCT 17, 2025 12:23:18 PM"
"Street Sweeping Request","Environmental Services","17##","KAMLOOPS","WARD 9","Phone","OCT 17, 2025 01:09:45 PM"
"Street Sweeping Request","Environmental Services","9##","JEFFERSON","WARD 6","Phone","DEC 02, 2025 10:11:08 AM"
"Street Sweeping Request","Environmental Services"," ","LENA AVE & MILLEN ST","WARD 2","Phone","NOV 04, 2025 02:07:54 PM"
"Street Sweeping Request","Environmental Services","12##","HARRISON","WARD 2","Phone","OCT 08, 2025 12:52:47 PM"
"Street Sweeping Request","Environmental Services","12##","HARRISON","WARD 2","Phone","OCT 29, 2025 11:12:32 AM"
"Street Sweeping Request","Environmental Services","12##","HARRISON","WARD 2","Phone","OCT 15, 2025 10:43:43 AM"
"Street Sweeping Request","Environmental Services"," ","TURNER RD & GRAND MARAIS RD E","WARD 10","Citizen Mobile Apps","OCT 03, 2025 03:20:46 PM"
"Street Sweeping Request","Environmental Services"," ","NORMAN RD & TECUMSEH RD E","WARD 8","Phone","AUG 28, 2025 11:12:57 AM"
"Street Sweeping Request","Environmental Services"," ","CABANA RD W & CASGRAIN DR","WARD 1","Phone","SEP 05, 2025 09:08:23 AM"
"Street Sweeping Request","Environmental Services"," ","WALKER RD & PROVINCIAL RD","WARD 9","Citizen Mobile Apps","SEP 29, 2025 01:10:54 PM"
"Street Sweeping Request","Environmental Services","6##","BRANT","WARD 4","Phone","OCT 02, 2025 11:53:15 AM"
"Street Sweeping Request","Environmental Services","16##","PILLETTE","WARD 5","Citizen Mobile Apps","OCT 07, 2025 10:18:37 AM"
"Street Sweeping Request","Environmental Services","23##","SOUTH CAMERON","WARD 10","Citizen Mobile Apps","OCT 07, 2025 12:55:02 PM"
"Street Sweeping Request","Environmental Services","18##","ALEXANDRA","WARD 10","Phone","OCT 07, 2025 01:01:24 PM"
"Street Sweeping Request","Environmental Services","17##","BENJAMIN","WARD 4","Phone","OCT 09, 2025 11:42:08 AM"
"Street Sweeping Request","Environmental Services","28##","GLENWOOD","WARD 10","Phone","OCT 23, 2025 03:34:02 PM"
"Street Sweeping Request","Environmental Services","30##","FOREST GLADE","WARD 7","Phone","OCT 30, 2025 09:48:59 AM"
"Street Sweeping Request","Environmental Services","31##","LONGFELLOW","WARD 1","Phone","NOV 03, 2025 03:50:23 PM"
"Street Sweeping Request","Environmental Services","10##","HALL","WARD 4","Phone","NOV 04, 2025 12:40:04 PM"
"Street Sweeping Request","Environmental Services","2##","CAMERON","WARD 2","Phone","NOV 05, 2025 10:36:10 AM"
"Street Sweeping Request","Environmental Services","29##","WILDWOOD","WARD 7","Phone","NOV 06, 2025 03:58:09 PM"
"Street Sweeping Request","Environmental Services"," ","RIVERDALE AVE & LITTLE RIVER RD","WARD 6","Phone","NOV 07, 2025 09:48:16 AM"
"Street Sweeping Request","Environmental Services","101##","EASTCOURT","WARD 7","Phone","NOV 12, 2025 08:11:29 AM"
"Street Sweeping Request","Environmental Services","25##","GAIL","WARD 4","Phone","NOV 14, 2025 10:15:39 AM"
"Street Sweeping Request","Environmental Services","93##","ALTEN","WARD 7","Phone","NOV 14, 2025 10:34:02 AM"
"Street Sweeping Request","Environmental Services","30##","RANKIN","WARD 1","Phone","NOV 14, 2025 12:39:20 PM"
"Street Sweeping Request","Environmental Services","25##","GAIL","WARD 4","Phone","NOV 17, 2025 09:30:48 AM"
"Street Sweeping Request","Environmental Services"," ","GUY ST & PILLETTE RD","WARD 5","E-Mail","NOV 17, 2025 01:33:38 PM"
"Street Sweeping Request","Environmental Services","15##","CHANDLER","WARD 5","Phone","NOV 19, 2025 11:14:31 AM"
"Street Sweeping Request","Environmental Services","24##","GLADSTONE","WARD 4","E-Mail","SEP 22, 2025 02:17:28 PM"
"Street Sweeping Request","Environmental Services","10##","PIERRE","WARD 4","Phone","SEP 23, 2025 03:28:08 PM"
"Street Sweeping Request","Environmental Services"," ","JESSICA WAY & ALPENROSE AVE","WARD 1","Phone","SEP 24, 2025 02:26:18 PM"
"Street Sweeping Request","Environmental Services","9##","BELLEPERCHE","WARD 6","Phone","SEP 26, 2025 01:14:36 PM"
